instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1931.0, 1857.0, 0.00225, 15.34161
bays29, 2020, 2177.0, 2096.0, 0.00224, 3.76238
berlin52, 7542, 8749.0, 8518.0, 0.00738, 12.94086
bier127, 118282, 132150.5, 128564.0, 0.06575, 8.69279
brazil58, 25395, 30090.0, 29406.0, 0.01393, 15.79445
ch130, 6110, 7493.0, 7407.0, 0.07105, 21.2275
ch150, 6528, 8126.0, 8061.0, 0.05137, 23.48346
swiss42, 1273, 1598.5, 1567.0, 0.00341, 23.09505
