instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 2211.01667, 1615.0, 0.0506, 0.31056
bays29, 2020, 2826.61667, 2020.0, 0.04635, 0.0
berlin52, 7542, 12209.26667, 7797.0, 0.17543, 3.38107
bier127, 118282, 223426.35, 120343.0, 1.50691, 1.74245
brazil58, 25395, 45201.15, 25395.0, 0.19884, 0.0
ch130, 6110, 13833.06667, 6271.0, 1.77891, 2.63502
ch150, 6528, 16020.21667, 6700.0, 2.03349, 2.6348
swiss42, 1273, 2035.81667, 1273.0, 0.09816, 0.0
