instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1857.0, 1857.0, 0.00522, 15.34161
bays29, 2020, 2096.0, 2096.0, 0.00458, 3.76238
berlin52, 7542, 8518.0, 8518.0, 0.01633, 12.94086
bier127, 118282, 128564.0, 128564.0, 0.13508, 8.69279
brazil58, 25395, 29406.0, 29406.0, 0.0278, 15.79445
ch130, 6110, 7407.0, 7407.0, 0.14644, 21.2275
ch150, 6528, 8061.0, 8061.0, 0.09555, 23.48346
swiss42, 1273, 1567.0, 1567.0, 0.00705, 23.09505
