instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1637.2, 1620.0, 0.12795, 0.62112
bays29, 2020, 2020.0, 2020.0, 0.09948, 0.0
berlin52, 7542, 7940.4, 7857.0, 0.43854, 4.17661
bier127, 118282, 121894.4, 120343.0, 3.23847, 1.74245
brazil58, 25395, 25812.2, 25628.0, 0.58998, 0.9175
ch130, 6110, 6463.2, 6402.0, 3.86666, 4.77905
ch150, 6528, 6736.5, 6700.0, 4.51732, 2.6348
swiss42, 1273, 1300.5, 1273.0, 0.27217, 0.0
