instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1789.0, 1789.0, 0.00335, 11.11801
bays29, 2020, 2056.0, 2056.0, 0.00457, 1.78218
berlin52, 7542, 8113.0, 8113.0, 0.01079, 7.57094
bier127, 118282, 120460.0, 120460.0, 0.13187, 1.84136
brazil58, 25395, 25932.0, 25932.0, 0.03221, 2.11459
ch130, 6110, 6856.0, 6856.0, 0.1043, 12.20949
ch150, 6528, 6974.0, 6974.0, 0.18943, 6.83211
swiss42, 1273, 1384.0, 1384.0, 0.00932, 8.71956
